LIBGEO,BV2012,LIBBV2012
L'Abergement-Clémenciat,01093,Châtillon-sur-Chalaronne
L'Abergement-de-Varey,01004,Ambérieu-en-Bugey
Ambérieu-en-Bugey,01004,Ambérieu-en-Bugey
Ambérieux-en-Dombes,69123,Lyon
Ambléon,01034,Belley
Ambronay,01004,Ambérieu-en-Bugey
Ambutrix,01004,Ambérieu-en-Bugey
Andert-et-Condon,01034,Belley
Anglefort,74269,Seyssel
Apremont,01283,Oyonnax
Aranc,01185,Hauteville-Lompnes
Arandas,01004,Ambérieu-en-Bugey
Arbent,01283,Oyonnax
Arbignieu,01034,Belley
Arbigny,01305,Pont-de-Vaux
Argis,01185,Hauteville-Lompnes
Armix,01185,Hauteville-Lompnes
Ars-sur-Formans,69123,Lyon
Artemare,01034,Belley
Asnières-sur-Saône,01305,Pont-de-Vaux
Attignat,01266,Montrevel-en-Bresse
Bâgé-la-Ville,71270,Mâcon
Bâgé-le-Châtel,71270,Mâcon
Balan,69123,Lyon
Baneins,01093,Châtillon-sur-Chalaronne
Beaupont,39475,Saint-Amour
Beauregard,69123,Lyon
Bellignat,01283,Oyonnax
Béligneux,69123,Lyon
Bellegarde-sur-Valserine,01033,Bellegarde-sur-Valserine
Belley,01034,Belley
Belleydoux,01283,Oyonnax
Belmont-Luthézieu,01034,Belley
Bénonces,38247,Montalieu-Vercieu
Bény,01053,Bourg-en-Bresse
Béon,01034,Belley
Béréziat,01266,Montrevel-en-Bresse
Bettant,01004,Ambérieu-en-Bugey
Bey,01348,Saint-Didier-sur-Chalaronne - Thoissey
Beynost,69123,Lyon
Billiat,01033,Bellegarde-sur-Valserine
Birieux,01443,Villars-les-Dombes
Biziat,01457,Vonnas
Blyes,01202,Lagnieu
La Boisse,69123,Lyon
Boissey,01305,Pont-de-Vaux
Bolozon,01269,Nantua
Bouligneux,01443,Villars-les-Dombes
Bourg-en-Bresse,01053,Bourg-en-Bresse
Bourg-Saint-Christophe,01244,Meximieux
Boyeux-Saint-Jérôme,01004,Ambérieu-en-Bugey
Boz,01305,Pont-de-Vaux
Brégnier-Cordon,38012,Aoste
Brénaz,01034,Belley
Brénod,01185,Hauteville-Lompnes
Brens,01034,Belley
Bressolles,69123,Lyon
Brion,01269,Nantua
Briord,38247,Montalieu-Vercieu
Buellas,01053,Bourg-en-Bresse
La Burbanche,01034,Belley
Ceignes,01269,Nantua
Cerdon,01004,Ambérieu-en-Bugey
Certines,01053,Bourg-en-Bresse
Cessy,01173,Gex
Ceyzériat,01053,Bourg-en-Bresse
Ceyzérieu,01034,Belley
Chalamont,01244,Meximieux
Chaleins,69123,Lyon
Chaley,01185,Hauteville-Lompnes
Challes-la-Montagne,01004,Ambérieu-en-Bugey
Challex,74012,Annemasse
Champagne-en-Valromey,01034,Belley
Champdor,01185,Hauteville-Lompnes
Champfromier,01033,Bellegarde-sur-Valserine
Chanay,74269,Seyssel
Chaneins,69019,Belleville
Chanoz-Châtenay,01093,Châtillon-sur-Chalaronne
La Chapelle-du-Châtelard,01443,Villars-les-Dombes
Charix,01269,Nantua
Charnoz-sur-Ain,01244,Meximieux
Château-Gaillard,01004,Ambérieu-en-Bugey
Châtenay,01244,Meximieux
Châtillon-en-Michaille,01033,Bellegarde-sur-Valserine
Châtillon-la-Palud,01004,Ambérieu-en-Bugey
Châtillon-sur-Chalaronne,01093,Châtillon-sur-Chalaronne
Chavannes-sur-Reyssouze,01305,Pont-de-Vaux
Chavannes-sur-Suran,01053,Bourg-en-Bresse
Chaveyriat,01457,Vonnas
Chavornay,01034,Belley
Chazey-Bons,01034,Belley
Chazey-sur-Ain,01244,Meximieux
Cheignieu-la-Balme,01034,Belley
Chevillard,01269,Nantua
Chevroux,01305,Pont-de-Vaux
Chevry,74012,Annemasse
Chézery-Forens,01033,Bellegarde-sur-Valserine
Civrieux,69123,Lyon
Cize,01053,Bourg-en-Bresse
Cleyzieu,01004,Ambérieu-en-Bugey
Coligny,39475,Saint-Amour
Collonges,01033,Bellegarde-sur-Valserine
Colomieu,01034,Belley
Conand,01004,Ambérieu-en-Bugey
Condamine,01269,Nantua
Condeissiat,01457,Vonnas
Confort,01033,Bellegarde-sur-Valserine
Confrançon,01266,Montrevel-en-Bresse
Contrevoz,01034,Belley
Conzieu,01034,Belley
Corbonod,74269,Seyssel
Corcelles,01185,Hauteville-Lompnes
Corlier,01185,Hauteville-Lompnes
Cormaranche-en-Bugey,01185,Hauteville-Lompnes
Cormoranche-sur-Saône,71090,La Chapelle-de-Guinchay - Crêches-sur-Saône
Cormoz,39475,Saint-Amour
Corveissiat,01053,Bourg-en-Bresse
Courmangoux,39475,Saint-Amour
Courtes,01305,Pont-de-Vaux
Crans,01244,Meximieux
Cras-sur-Reyssouze,01266,Montrevel-en-Bresse
Cressin-Rochefort,01034,Belley
Crottet,01134,Crottet - Pont-de-Veyle
Crozet,74012,Annemasse
Cruzilles-lès-Mépillat,01134,Crottet - Pont-de-Veyle
Culoz,01034,Belley
Curciat-Dongalon,01266,Montrevel-en-Bresse
Curtafond,01266,Montrevel-en-Bresse
Cuzieu,01034,Belley
Dagneux,69123,Lyon
Divonne-les-Bains,01143,Divonne-les-Bains
Dommartin,71270,Mâcon
